"state","year","death_rate","gdp","pce","rpp","employment","hc_exp","income","edu_level","diabetes_rate","cardio_rate","smoke_rate","elder_rate","obesity_rate"
"Ohio",2021,34.2,58329.3481267376,41297.6688368971,92.459,0.5991,8322.30990904549,53437.7273289063,0.307,0.139,0.084,0.16,0.178,37.8
"Oklahoma",2018,37.9,49750.9666301629,35474.5846377183,89.81,0.5868,6454.51349982933,47679.7196106324,0.256,0.125,0.088,0.197,0.157,34.8
"Oklahoma",2019,37.9,50407.7740271536,35626.5941802454,89.573,0.5839,6652.81600496946,49341.7818831627,0.262,0.122,0.082,0.189,0.161,29
"Oklahoma",2020,38.2,48109.9454414121,34862.0599902343,89.829,0.5718,6326.19336822608,50721.6553608252,0.27,0.147,0.062,0.178,0.164,36.4
"Oklahoma",2021,36,48485.8658682485,36989.4706512412,90.269,0.5799,7042.72497792031,51710.2894474754,0.279,0.148,0.09,0.152,0.162,39.4
"Oregon",2018,35.6,56029.3370024912,36486.8626260974,104.616,0.6146,7229.75231749502,44742.5635227742,0.34,0.11,0.07,0.156,0.176,29.9
"Oregon",2019,37.2,56881.3323353258,37417.9091773622,103.924,0.6115,7609.86282454311,46222.1802829337,0.345,0.086,0.06,0.145,0.182,33.2
"Oregon",2020,37,55991.0195898742,36710.2298226416,103.427,0.5874,7170.89989033628,49708.1720083066,0.363,0.104,0.086,0.127,0.186,28.1
"Oregon",2021,41,58759.801057303,40012.0668157633,103.032,0.6014,7970.74736960567,51737.9292488948,0.363,0.106,0.069,0.117,0.186,30.4
"Pennsylvania",2018,20.7,59671.9048831014,42373.5493427739,98.152,0.6065,8190.23817190668,52608.3824274533,0.318,0.113,0.072,0.17,0.182,30.9
"Pennsylvania",2019,21.2,60344.4902194495,42955.926614216,98.078,0.6071,8423.51918908851,53716.481087431,0.323,0.108,0.067,0.173,0.187,30
"Pennsylvania",2020,23.2,56675.8244295252,40551.805233623,97.783,0.5705,7864.34044098861,55993.6865305469,0.34,0.121,0.078,0.141,0.191,31.5
"Pennsylvania",2021,22.7,58761.0000846138,43849.3016362745,96.371,0.5879,8467.85278179264,57647.9786942251,0.345,0.119,0.079,0.131,0.19,33.3
"Rhode Island",2018,29.2,55504.886670629,39152.9896899423,102.254,0.613,7812.15303599118,49159.6325004465,0.344,0.109,0.071,0.146,0.173,27.7
"Rhode Island",2019,28.9,56511.9916628987,39440.7572111867,102.408,0.6145,8188.52119343642,51345.8584939412,0.348,0.104,0.061,0.133,0.177,35.4
"Rhode Island",2020,31.9,53044.6164300471,36661.7260077804,101.954,0.5616,7484.32290930319,53058.3894668193,0.38,0.125,0.093,0.125,0.182,30.1
"Rhode Island",2021,29.7,55403.9480940943,39693.888248244,102.083,0.5837,8144.96096117996,54638.2129199579,0.365,0.115,0.071,0.109,0.183,30.1
"South Carolina",2018,44.3,45565.7340176029,37120.005759068,92.221,0.5593,5706.37486339916,43754.7943060756,0.283,0.133,0.077,0.18,0.177,34.3
"South Carolina",2019,37.9,46130.2375700029,37877.3417983597,91.572,0.5598,5926.85862916449,45827.1327558687,0.296,0.134,0.075,0.175,0.182,33
"South Carolina",2020,40.4,45541.5476062424,37899.0180535355,91.035,0.5505,5701.88360995883,48675.0386995094,0.317,0.154,0.078,0.155,0.187,36.2
"South Carolina",2021,40.9,47148.3648247558,39956.0700337707,93.693,0.5658,6431.67517319544,48554.2238737627,0.315,0.16,0.085,0.141,0.186,36.1
"South Dakota",2018,36.3,59107.6797716622,41514.6045626598,91.395,0.6944,9265.52695010117,52610.7946074761,0.292,0.093,0.071,0.19,0.166,30.1
"South Dakota",2019,40.5,59186.7600962631,41968.3742549389,91.863,0.6899,9868.43518236971,54735.2143594311,0.297,0.106,0.069,0.183,0.174,36.5
"South Dakota",2020,39.7,59351.3847165856,41864.7689398163,90.721,0.6829,9513.18935930317,60089.5022409352,0.284,0.095,0.089,0.158,0.176,33.2
"South Dakota",2021,35.6,61529.3629291067,45762.4943648707,90.147,0.698,10415.9506518896,61977.6067773309,0.317,0.127,0.081,0.129,0.176,38.4
"Tennessee",2018,45,53512.0268662011,38127.5057663361,89.579,0.6085,6560.00009451194,48664.9375903678,0.275,0.138,0.09,0.207,0.163,34.4
"Tennessee",2019,41.1,54192.2493115566,37989.9677471975,91.214,0.6105,6735.03120582372,49551.834526401,0.287,0.138,0.078,0.199,0.167,34
"Tennessee",2020,44.4,52927.427858795,37215.9947002571,90.541,0.595,6487.53562677935,52145.5482896186,0.307,0.149,0.067,0.181,0.171,35.6
"Tennessee",2021,37.7,56911.0539925443,40468.2973059193,90.854,0.6173,7159.94357919112,54057.9256125301,0.305,0.151,0.089,0.174,0.17,35
"Texas",2018,38.4,61006.799967557,37171.5748124625,97.831,0.6151,5871.05944789743,48986.211931775,0.303,0.126,0.067,0.144,0.125,34.8
"Texas",2019,38.6,62178.2383504747,37304.9779035857,98.528,0.6174,6128.82222823304,49792.027357265,0.308,0.122,0.058,0.147,0.129,29.2
"Texas",2020,44.6,60623.8664575568,36431.2921307995,98.745,0.6055,5817.06495317502,50795.8101664608,0.332,0.133,0.057,0.128,0.132,35.8
"Texas",2021,41.9,63381.1028732363,39570.5058218746,98.502,0.6279,6522.34808482491,52666.611274371,0.331,0.128,0.067,0.124,0.132,36.1
